           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
            0.000000                   0                  -1                  -1                   0
            0.000000                   0                  -1                  -1                   0
            0.000000                   0                  -1                  -1                   0
            0.000000                   0                  -1                  -1                   0
            0.000000                   0                  -1                  -1                   0
        63732.892964                   0                  -1                  -1                   0
        63732.892964                   0                 100                  -1                   1
        63732.892964                   0                 101                  -1                   2
        63732.892964                   0                 102                  -1                   0
        63732.892964                   0                 103                  -1                   1
        63730.121834                   0                  -1                  -1                   0
        63730.121834                   0                 101                  -1                   1
        63730.121834                   0                 102                  -1                   2
        63730.121834                   0                 103                  -1                   0
        63730.121834                   0                 104                  -1                   1
        63728.699397                   0                  -1                  -1                   0
        63728.699397                   0                 102                  -1                   1
        63728.699397                   0                 103                  -1                   2
        63728.699397                   0                 104                  -1                   0
        63728.699397                   0                 105                  -1                   1
        63728.079892                   0                  -1                  -1                   0
        63728.079892                   0                 103                  -1                   1
        63728.079892                   0                 104                  -1                   2
        63728.079892                   0                 105                  -1                   0
        63728.079892                   0                 106                  -1                   1
        63731.041680                   0                  -1                  -1                   0
        63731.041680                   0                 104                  -1                   1
        63731.041680                   0                 105                  -1                   2
        63731.041680                   0                 106                  -1                   0
        63731.041680                   0                 107                  -1                   1
        63730.934510                   0                  -1                  -1                   0
        63730.934510                   0                 105                  -1                   1
        63730.934510                   0                 106                  -1                   2
        63730.934510                   0                 107                  -1                   0
        63730.934510                   0                 108                  -1                   1
        63737.306456                   0                  -1                  -1                   0
        63737.306456                   0                 106                  -1                   1
        63737.306456                   0                 107                  -1                   2
        63737.306456                   0                 108                  -1                   0
        63737.306456                   0                 109                  -1                   1
        63730.400468                   0                  -1                  -1                   0
        63730.400468                   0                 107                  -1                   1
        63730.400468                   0                 108                  -1                   2
        63730.400468                   0                 109                  -1                   0
        63730.400468                   0                 110                  -1                   1
        63754.105149                   0                  -1                  -1                   0
        63754.105149                   0                 108                  -1                   1
        63754.105149                   0                 109                  -1                   2
        63754.105149                   0                 110                  -1                   0
        63754.105149                   0                 111                  -1                   1
        63731.749729                   0                  -1                  -1                   0
        63731.749729                   0                 109                  -1                   1
        63731.749729                   0                 110                  -1                   2
        63731.749729                   0                 111                  -1                   0
        63731.749729                   0                 112                  -1                   1
        49178.500000                   0                  -1                  -1                   0
       228411.584468                   0                 100                  -1                   0
       228411.584468                   0                 101                  -1                   0
       228411.584468                   0                 102                  -1                   1
       228411.584468                   0                 103                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228381.358621                   0                 101                  -1                   0
       228381.358621                   0                 102                  -1                   0
       228381.358621                   0                 103                  -1                   1
       228381.358621                   0                 104                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228504.323124                   0                 102                  -1                   0
       228504.410631                   0                 103                  -1                   0
       228503.401394                   0                 104                  -1                   1
       228502.064224                   0                 105                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228431.300508                   0                 103                  -1                   0
       228431.300508                   0                 104                  -1                   0
       228431.300508                   0                 105                  -1                   1
       228431.300508                   0                 106                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228273.122947                   0                 104                  -1                   0
       228273.122947                   0                 105                  -1                   0
       228273.122947                   0                 106                  -1                   1
       228273.122947                   0                 107                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228521.618288                   0                 105                  -1                   0
       228521.807014                   0                 106                  -1                   0
       228520.789921                   0                 107                  -1                   1
       228519.222847                   0                 108                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228297.909185                   0                 106                  -1                   0
       228297.909185                   0                 107                  -1                   0
       228297.909185                   0                 108                  -1                   1
       228297.909185                   0                 109                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228354.561725                   0                 107                  -1                   0
       228354.561725                   0                 108                  -1                   0
       228354.561725                   0                 109                  -1                   1
       228354.561725                   0                 110                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228299.545021                   0                 108                  -1                   0
       228299.545021                   0                 109                  -1                   0
       228300.124278                   0                 110                  -1                   1
       228300.124278                   0                 111                  -1                   2
        49178.500000                   0                  -1                  -1                   0
       228272.227400                   0                 109                  -1                   0
       228272.227400                   0                 110                  -1                   0
       228272.227400                   0                 111                  -1                   1
       228272.227400                   0                 112                  -1                   2
          272.500000                   0                  -1                  -1                   0
          457.294485                   0                 100                  -1                   0
          457.292236                   0                 101                  -1                   0
          457.427183                   0                 102                  -1                   1
          457.507105                   0                 103                  -1                   2
          272.500000                   0                  -1                  -1                   0
          594.539046                   0                 101                  -1                   0
          603.734791                   0                 102                  -1                   0
          606.086649                   0                 103                  -1                   0
          607.402664                   0                 104                  -1                   0
          272.500000                   0                  -1                  -1                   0
